,values_fd
0,-0.8810408020019622
1,3.9196726226806504
2,10.591411285400454
3,18.28094902038572
4,9.190359039306713
5,6.330588531494072
6,28.649337463378856
7,8.117269439697225
8,11.336699981689549
9,12.20159492492678
10,20.34666938781743
11,25.89109184265135
12,16.081160125732367
13,13.20717666625967
14,16.663475646972643
15,12.061662139892519
16,17.4786743927001
17,7.75887397766121
18,12.310064849853461
19,8.396165924072193
20,3.3356785583496276
21,25.639809112548846
22,15.093607025146412
23,23.148944931030314
24,11.730968093872093
25,25.593597335815502
26,11.059354400634675
27,28.63925689697271
28,10.022066497802712
29,12.92587631225581
30,11.026491775512682
31,21.017516403198215
32,6.741573486328093
33,-2.208824844360379
34,16.210574035644527
35,20.76235870361336
36,13.143629608154356
37,6.21526275634767
38,-4.5206635284423555
39,10.124789199829024
40,9.875520401000983
41,12.814754867553688
42,15.599393386840859
43,24.50823501586916
44,27.452091979980537
45,4.4299468994140625
46,24.328340530395508
47,20.539489517211905
48,18.63077766418462
49,15.502646942138767
50,0.061817169189453125
51,26.36757545471187
52,6.771494598388699
53,15.994785690307708
54,18.912899780273392
55,14.257145538330178
56,8.807260894775368
57,11.685950241088904
58,11.159164581298796
59,17.68067695617674
60,12.705866546630887
61,23.332792663574196
62,6.053746185302657
63,12.879580001831073
64,2.7515683746337345
65,15.052405853271523
66,1.9195883178711028
67,5.868139419555689
68,-8.923964462280253
69,15.009954223632803
70,-2.6034549331665175
71,-5.201096420288081
72,13.287723350524914
73,-5.482453651428216
74,11.213450775146498
75,16.967693634033196
76,11.830498733520528
77,1.8864762878417878
78,14.780185508728039
79,28.96642654418946
80,10.203619079589828
81,16.09652694702146
82,8.424533576965302
83,13.293562316894565
84,19.848918800354056
85,24.381754188537627
86,7.531557922363277
87,8.49908439636232
88,28.87254898071285
89,-2.9380994796753157
90,18.23931732177732
91,28.85308067321779
92,17.35130249023439
93,7.575931129455569
94,29.699856376647972
95,6.156524505615266
96,5.352847175598129
97,9.380520858764612
98,19.89015884399413
99,7.964318199157674
100,4.851124954223678
101,22.607473907470705
102,14.388970184326183
